filename,Has wheat?Ê,num of lines of wheat,num of mutations to find wheat,line numbers of wheat,wheats,,,,,,,,
Clone9.py,No wheat,0,127,,,,,,,,,,
Clone158.py,No wheat,0,511,,,,,,,,,,
Clone389.py,Has necessary and sufficient wheat,4,49,0_2_3_5_,"def __getitem__(self, key) :
","		temp = int(key)
","		return ""I am a number""
","		return self.get(key, None)
",,,,,
Clone109.py,Has necessary and sufficient wheat,3,16,0_1_2_,"def Compare(left, ops, comparators) :
","	for x, op, y in zip([left] + comparators [: - 1], ops, comparators) :
","		if not op(x, y) :
",,,,,,
Clone574.py,No wheat,0,31,,,,,,,,,,
Clone525.py,No wheat,0,31,,,,,,,,,,
Clone465.py,No wheat,0,511,,,,,,,,,,
Clone707.py,Has necessary and sufficient wheat,1,1,0_,"def readParag(fileObj) :
",,,,,,,,
Clone804.py,No wheat,0,63,,,,,,,,,,
Clone587.py,Has necessary and sufficient wheat,5,61,0_2_3_4_5_,"def reverse(s) :
","	t = ''
","	while len(rev) ! = 0 :
","		t += rev.pop()
","	return t
",,,,
Clone756.py,No wheat,0,31,,,,,,,,,,
Clone451.py,No wheat,0,15,,,,,,,,,,
Clone680.py,No wheat,0,127,,,,,,,,,,
Clone983.py,Has necessary and sufficient wheat,2,7,0_2_,"def fileCount(path, extension) :
","	for root, dirs, files in os.walk(path) :
",,,,,,,
Clone791.py,Has necessary and sufficient wheat,4,182,0_1_2_9_,"def __setattr__(self, a, v) :
","	propobj = getattr(self.__class__, a, None)
","	if isinstance(propobj, property) :
","		super(Test, self).__setattr__(a, v)
",,,,,
Clone540.py,Has necessary and sufficient wheat,2,6,0_1_,"def touch(fname) :
","	if os.path.exists(fname) :
",,,,,,,
Clone622.py,No wheat,0,127,,,,,,,,,,
Clone820.py,No wheat,0,127,,,,,,,,,,
Clone871.py,Has necessary and sufficient wheat,5,163,0_1_2_3_4_,"def sublist(a, b) :
","	last = 0
","	for el_a in a :
","		if el_a in b [last :] :
","			last = b [last :].index(el_a)
",,,,
Clone781.py,No wheat,0,255,,,,,,,,,,
Clone410.py,No wheat,0,63,,,,,,,,,,
Clone690.py,No wheat,0,31,,,,,,,,,,
Clone606.py,No wheat,0,255,,,,,,,,,,
Clone486.py,No wheat,0,127,,,,,,,,,,
Clone424.py,No wheat,0,1023,,,,,,,,,,
Clone148.py,No wheat,0,31,,,,,,,,,,
Clone139.py,No wheat,0,15,,,,,,,,,,
Clone795.py,Has necessary and sufficient wheat,3,46,0_1_2_,"def encrypt(key, plaintext) :
","	padded_key = key.ljust(KEY_SIZE, '\0')
","	padded_text = plaintext + (BLOCK_SIZE - len(plaintext) % BLOCK_SIZE) * '\0'
",,,,,,
Clone896.py,No wheat,0,255,,,,,,,,,,
Clone515.py,Has necessary and sufficient wheat,1,1,0_,"def func() :
",,,,,,,,
Clone834.py,No wheat,0,1023,,,,,,,,,,
Clone677.py,No wheat,0,63,,,,,,,,,,
Clone974.py,No wheat,0,127,,,,,,,,,,
Clone865.py,No wheat,0,31,,,,,,,,,,
Clone521.py,No wheat,0,63,,,,,,,,,,
Clone461.py,No wheat,0,127,,,,,,,,,,
Clone583.py,No wheat,0,127,,,,,,,,,,
Clone851.py,No wheat,0,31,,,,,,,,,,
Clone752.py,Has necessary and sufficient wheat,9,1017,0_1_2_3_4_6_7_8_9_,"def fib(n) :
","	if n == 2 :
","		try :
","			fib.two_count += 1
","		except AttributeError :
","	if n == 0 or n == 1 :
","		return n
","	else :
","		return fib(n - 1) + fib(n - 2)
"
Clone800.py,No wheat,0,511,,,,,,,,,,
Clone492.py,No wheat,0,63,,,,,,,,,,
Clone713.py,Has necessary and sufficient wheat,7,478,0_1_2_4_5_7_8_,"def Max(s) :
","	if len(s) == 1 :
","		return s [0]
","		m = Max(s [1 :])
","		if m > s [0] :
","		else :
","			return s [0]
",,
Clone653.py,No wheat,0,63,,,,,,,,,,
Clone841.py,No wheat,0,255,,,,,,,,,,
Clone593.py,No wheat,0,31,,,,,,,,,,
Clone901.py,No wheat,0,31,,,,,,,,,,
Clone420.py,No wheat,0,1023,,,,,,,,,,
Clone19.py,No wheat,0,31,,,,,,,,,,
Clone875.py,Has necessary and sufficient wheat,6,642,0_1_2_3_4_9_,"def sublist(a, b) :
","	seq = iter(b)
","	try :
","		for x in a :
","			while next(seq) ! = x : pass
","	return False
",,,
Clone667.py,No wheat,0,511,,,,,,,,,,
Clone964.py,No wheat,0,63,,,,,,,,,,
Clone997.py,No wheat,0,63,,,,,,,,,,
Clone505.py,Has necessary and sufficient wheat,1,3,2_,"	for stdout_line in iter(popen.stdout.readline, """") :
",,,,,,,,
Clone445.py,No wheat,0,31,,,,,,,,,,
Clone414.py,No wheat,0,63,,,,,,,,,,
Clone169.py,No wheat,0,511,,,,,,,,,,
Clone138.py,No wheat,0,15,,,,,,,,,,
Clone405.py,No wheat,0,31,,,,,,,,,,
Clone454.py,No wheat,0,127,,,,,,,,,,
Clone986.py,No wheat,0,255,,,,,,,,,,
Clone767.py,No wheat,0,511,,,,,,,,,,
Clone864.py,No wheat,0,31,,,,,,,,,,
Clone520.py,No wheat,0,31,,,,,,,,,,
Clone571.py,No wheat,0,31,,,,,,,,,,
Clone582.py,No wheat,0,127,,,,,,,,,,
Clone582.py,No wheat,0,127,,,,,,,,,,
Clone493.py,No wheat,0,127,,,,,,,,,,
Clone712.py,No wheat,0,1023,,,,,,,,,,
Clone483.py,No wheat,0,511,,,,,,,,,,
Clone743.py,Has necessary and sufficient wheat,8,980,0_1_2_3_5_6_8_9_,"def translate_non_alphanumerics(to_translate, translate_to = u'_') :
","	not_letters_or_digits = u'!""#%\'()*+,-./:;<=>?@[\]^_`{|}~'
","	if isinstance(to_translate, unicode) :
","		translate_table = dict((ord(char), unicode(translate_to)) for char in not_letters_or_digits)
","		assert isinstance(to_translate, str)
","		translate_table = string.maketrans(not_letters_or_digits,
","		* len(not_letters_or_digits))
","	return to_translate.translate(translate_table)
",
Clone603.py,No wheat,0,31,,,,,,,,,,
Clone421.py,No wheat,0,1023,,,,,,,,,,
Clone470.py,No wheat,0,511,,,,,,,,,,
Clone934.py,No wheat,0,255,,,,,,,,,,
Clone965.py,No wheat,0,511,,,,,,,,,,
Clone825.py,No wheat,0,255,,,,,,,,,,
Clone996.py,No wheat,0,127,,,,,,,,,,
Clone555.py,No wheat,0,511,,,,,,,,,,
Clone415.py,No wheat,0,7,,,,,,,,,,
Clone575.py,No wheat,0,31,,,,,,,,,,
Clone524.py,No wheat,0,31,,,,,,,,,,
Clone464.py,No wheat,0,1023,,,,,,,,,,
Clone706.py,No wheat,0,127,,,,,,,,,,
Clone586.py,No wheat,0,127,,,,,,,,,,
Clone854.py,Has necessary and sufficient wheat,3,20,0_2_4_,"def fib(a = 0, b = 1) :
","	while True :
","		a, b = b, a + b
",,,,,,
Clone450.py,No wheat,0,15,,,,,,,,,,
Clone982.py,Has necessary and sufficient wheat,2,7,0_2_,"def fileCount(path, extension) :
","	for root, dirs, files in os.walk(path) :
",,,,,,,
Clone790.py,No wheat,0,127,,,,,,,,,,
Clone763.py,No wheat,0,511,,,,,,,,,,
